State	1995_Deaths	1995_Births	1996_Deaths	1996_Births	1997_Deaths	1997_Births	1998_Deaths	1998_Births	1999_Deaths	1999_Births	2000_Deaths	2000_Births	2001_Deaths	2001_Births	2002_Deaths	2002_Births	2003_Deaths	2003_Births	2004_Deaths	2004_Births	2005_Deaths	2005_Births	2006_Deaths	2006_Births	2007_Deaths	2007_Births	2008_Deaths	2008_Births	2009_Deaths	2009_Births	2010_Deaths	2010_Births	2011_Deaths	2011_Births	2012_Deaths	2012_Births	2013_Deaths	2013_Births
Alabama	590	60,329	629	60,488	576	60,914	627	62,074	602	62122	602	63,299	564	60,454	538	58,968	515	59,552	517	59,510	576	60,453	568	63,232	644	64,804	611	64,546	517	62,475	524	60,050	488	59,354	519	58,448	500	58,167
Alaska	77	10,244	72	10,037	76	9,947	59	9,926	60	9950	69	9,974	79	10,004	56	9,938	69	10,086	68	10,338	62	10,459	77	10,996	73	11,052	69	11,442	78	11,324	41	11,471	44	11,456	57	11,187	66	11,446
Arizona	552	72,463	577	75,322	534	75,699	588	78,243	544	81145	576	85,273	595	85,597	564	87,837	591	90,967	630	93,663	659	96,199	651	102,430	707	102,981	635	99,442	554	92,798	520	87,477	511	85,543	500	86,441	449	85,600
Arkansas	304	35,175	348	36,371	314	36,478	329	36,865	293	36729	311	37,783	309	37,010	313	37,437	327	37,784	323	38,573	307	39,208	346	40,961	323	41,378	300	40,669	301	39,808	279	38,540	282	38,715	271	38,347	297	37,832
California	3,479	552,045	3,190	539,433	3,102	524,840	2,994	521,661	2796	518508	2,882	531,971	2,823	527,784	2,873	529,372	2,800	540,997	2,812	544,844	2,918	548,882	2,835	562,440	2,947	566,414	2,822	551,804	2,590	527,020	2,417	510,198	2,403	502,120	2,244	503,755	2,354	494,705
Colorado	348	54,332	372	55,807	398	56,533	402	59,577	411	62167	402	65,438	390	67,007	409	68,418	425	69,339	427	68,503	444	68,944	408	70,751	434	70,809	435	70,031	428	68,628	392	66,355	358	65,055	297	65,187	333	65,007
Connecticut	316	44,334	284	44,469	308	43,109	306	43,820	260	43310	280	43,026	258	42,648	273	42,002	228	42,873	229	42,095	244	41,718	258	41,820	279	41,660	239	40,399	216	38,896	200	37,708	192	37,281	192	36,539	173	36,085
Delaware	76	10,266	78	10,155	81	10,253	100	10,578	80	10676	106	11,051	114	10,749	95	11,090	107	11,329	98	11,369	105	11,643	97	11,989	93	12,170	101	12,090	92	11,559	85	11,364	100	11,257	84	11,023	69	10,831
District of Columbia	143	9,014	126	8,390	109	7,927	96	7,686	120	7522	93	7,666	83	7,625	85	7,498	81	7,619	97	7,933	109	7,971	101	8,523	115	8,864	102	9,130	94	9,040	70	9,165	69	9,295	74	9,399	62	9,288
Florida	1,423	188,723	1,419	189,392	1,368	192,383	1,423	195,637	1436	197023	1,410	204,126	1,493	205,793	1,547	205,579	1,586	212,250	1,530	218,053	1,639	226,243	1,720	236,802	1,694	239,165	1,684	231,445	1,527	221,394	1,397	214,590	1,379	213,414	1,306	213,148	1,322	215,407
