State	1995_Deaths	1995_Births	1995_IMR	1996_Deaths	1996_Births	1996_IMR	1997_Deaths	1997_Births	1997_IMR	1998_Deaths	1998_Births	1998_IMR	1999_Deaths	1999_Births	1999_IMR	2000_Deaths	2000_Births	2000_IMR	2001_Deaths	2001_Births	2001_IMR	2002_Deaths	2002_Births	2002_IMR	2003_Deaths	2003_Births	2003_IMR	2004_Deaths	2004_Births	2004_IMR	2005_Deaths	2005_Births	2005_IMR	2006_Deaths	2006_Births	2006_IMR	2007_Deaths	2007_Births	2007_IMR	2008_Deaths	2008_Births	2008_IMR	2009_Deaths	2009_Births	2009_IMR	2010_Deaths	2010_Births	2010_IMR	2011_Deaths	2011_Births	2011_IMR	2012_Deaths	2012_Births	2012_IMR	2013_Deaths	2013_Births	2013_IMR	2014_Deaths	2014_Births	2014_IMR
Alabama	590	60,329	9.78	629	60,488	10.40	576	60,914	9.46	627	62,074	10.10	602	62122	9.690608802	602	63,299	9.51	564	60,454	9.33	538	58,968	9.12	515	59,552	9	517	59,510	8.69	576.00	60,453.00	9.53	568	63,232	8.98	644	64,804	9.94	611.00	64,546.00	9.47	517.00	62,475.00	8.28	524.00	60,050.00	8.73	488.00	59,354.00	8.22	519.00	58,448.00	8.88	500	58,167	8.60	516	59,422	8.683652519
Alaska	77	10,244	7.52	72	10,037	7.17	76	9,947	7.64	59	9,926	5.94	60	9950	6.030150754	69	9,974	6.92	79	10,004	7.90	56	9,938	5.63	69	10,086	7	68	10,338	6.58	62.00	10,459.00	5.93	77	10,996	7.00	73	11,052	6.61	69.00	11,442.00	6.03	78.00	11,324.00	6.89	41.00	11,471.00	3.57	44.00	11,456.00	3.84	57.00	11,187.00	5.10	66	11,446	5.77	75	11,392	6.583567416
Arizona	552	72,463	7.62	577	75,322	7.66	534	75,699	7.05	588	78,243	7.52	544	81145	6.704048309	576	85,273	6.75	595	85,597	6.95	564	87,837	6.42	591	90,967	6	630	93,663	6.73	659.00	96,199.00	6.85	651	102,430	6.36	707	102,981	6.87	635.00	99,442.00	6.39	554.00	92,798.00	5.97	520.00	87,477.00	5.94	511.00	85,543.00	5.97	500.00	86,441.00	5.78	449	85,600	5.25	534	86,887	6.145913658
Arkansas	304	35,175	8.64	348	36,371	9.57	314	36,478	8.61	329	36,865	8.92	293	36729	7.9773476	311	37,783	8.23	309	37,010	8.35	313	37,437	8.36	327	37,784	9	323	38,573	8.37	307.00	39,208.00	7.83	346	40,961	8.45	323	41,378	7.81	300.00	40,669.00	7.38	301.00	39,808.00	7.56	279.00	38,540.00	7.24	282.00	38,715.00	7.28	271.00	38,347.00	7.07	297	37,832	7.85	290	38,511	7.530316014
California	3,479	552,045	6.30	3,190	539,433	5.91	3,102	524,840	5.91	2,994	521,661	5.74	2796	518508	5.392395103	2,882	531,971	5.42	2,823	527,784	5.35	2,873	529,372	5.43	2,800	540,997	5	2,812	544,844	5.16	2,918.00	548,882.00	5.32	2,835	562,440	5.04	2,947	566,414	5.20	2,822.00	551,804.00	5.11	2,590.00	527,020.00	4.91	2,417.00	510,198.00	4.74	2,403.00	502,120.00	4.79	2,244.00	503,755.00	4.45	2,354	494,705	4.76	2,163	502,879	4.301233498
Colorado	348	54,332	6.41	372	55,807	6.67	398	56,533	7.04	402	59,577	6.75	411	62167	6.611224605	402	65,438	6.14	390	67,007	5.82	409	68,418	5.98	425	69,339	6	427	68,503	6.23	444.00	68,944.00	6.44	408	70,751	5.77	434	70,809	6.13	435.00	70,031.00	6.21	428.00	68,628.00	6.24	392.00	66,355.00	5.91	358.00	65,055.00	5.50	297.00	65,187.00	4.56	333	65,007	5.12	315	65,830	4.785052408
Connecticut	316	44,334	7.13	284	44,469	6.39	308	43,109	7.14	306	43,820	6.98	260	43310	6.00323251	280	43,026	6.51	258	42,648	6.05	273	42,002	6.50	228	42,873	5	229	42,095	5.44	244.00	41,718.00	5.85	258	41,820	6.17	279	41,660	6.70	239.00	40,399.00	5.92	216.00	38,896.00	5.55	200.00	37,708.00	5.30	192.00	37,281.00	5.15	192.00	36,539.00	5.25	173	36,085	4.79	176	36,285	4.850489183
Delaware	76	10,266	7.40	78	10,155	7.68	81	10,253	7.90	100	10,578	9.45	80	10676	7.493443237	106	11,051	9.59	114	10,749	10.61	95	11,090	8.57	107	11,329	9	98	11,369	8.62	105.00	11,643.00	9.02	97	11,989	8.09	93	12,170	7.64	101.00	12,090.00	8.35	92.00	11,559.00	7.96	85.00	11,364.00	7.48	100.00	11,257.00	8.88	84.00	11,023.00	7.62	69	10,831	6.37	74	10,972	6.744440394
District of Columbia	143	9,014	15.86	126	8,390	15.02	109	7,927	13.75	96	7,686	12.49	120	7522	15.95320394	93	7,666	12.13	83	7,625	10.89	85	7,498	11.34	81	7,619	11	97	7,933	12.23	109.00	7,971.00	13.67	101	8,523	11.85	115	8,864	12.97	102.00	9,130.00	11.17	94.00	9,040.00	10.40	70.00	9,165.00	7.64	69.00	9,295.00	7.42	74.00	9,399.00	7.87	62	9,288	6.68	69	9,509	7.256283521
Florida	1,423	188,723	7.54	1,419	189,392	7.49	1,368	192,383	7.11	1,423	195,637	7.27	1436	197023	7.288489161	1,410	204,126	6.91	1,493	205,793	7.25	1,547	205,579	7.53	1,586	212,250	7	1,530	218,053	7.02	1,639.00	226,243.00	7.24	1,720	236,802	7.26	1,694	239,165	7.08	1,684.00	231,445.00	7.28	1,527.00	221,394.00	6.90	1,397.00	214,590.00	6.51	1,379.00	213,414.00	6.46	1,306.00	213,148.00	6.13	1,322	215,407	6.14	1,333	219,991	6.059338791
